"0x8b5630","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x2","0x0","0x28","70","4","0x0","0x1","0x88b54f8","0x9","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0xd","0x4a","0x0","0x8","133","4","0x0","0x1","0x88b5500","0x4c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x9","0xd","0x0","0x28","5","4","0x0","0x1","0x88b5508","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x6","0x48","0x0","0x10","196","4","0x0","0x1","0x88b5510","0x15","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x3","0x9","0x0","0x28","3","4","0x0","0x1","0x88b5518","0x14","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x4","0x5","0x0","0x8","198","4","0x0","0x1","0x88b5520","0x1","0x14","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x8","0x1a","0x0","0x8","135","4","0x0","0x1","0x88b5528","0x2d","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x7","0x0","0x8","68","4","0x0","0x1","0x88b5530","0x3","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x13","0x44","0x0","0x8","131","4","0x0","0x1","0x88b5538","0x3f","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x4a","0x9","0x0","0x44","13","0","0x0","0x1","0x88b5540","0x1c","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0xb","0x80","0x4e","0x0","0x35","12","0","0x0","0x1","0x88b5548","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0xc","0x80","0x3f","0x0","0x2d","10","0","0x0","0x1","0x88b5550","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0xd","0x80","0x3f","0x0","0x2d","10","0","0x0","0x1","0x88b5558","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0xe","0x80","0x4e","0x0","0x35","13","0","0x0","0x1","0x88b5560","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0xf","0x80","0x4e","0x0","0x2d","12","0","0x0","0x1","0x88b5568","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x10","0x80","0x4e","0x0","0x2d","10","0","0x0","0x1","0x88b5570","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x11","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x80","0x3f","0x0","0x2d","10","0","0x0","0x1","0x88b5578","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x13","0x80","0x19","0x0","0x2d","11","0","0x0","0x1","0x88b5580","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x14","0x80","0xf","0x0","0x35","0","0","0x0","0x1","0x88b5588","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x15","0x80","0x3f","0x0","0x2d","0","0","0x0","0x1","0x88b5590","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x16","0x80","0x19","0x0","0x2d","0","0","0x0","0x1","0x88b5598","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x17","0x80","0x4e","0x0","0x2d","0","0","0x0","0x1","0x88b55a0","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x18","0x80","0x19","0x0","0x25","10","0","0x0","0x1","0x88b55a8","0x2d","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x19","0x80","0x3f","0x0","0x25","10","0","0x0","0x1","0x88b55b0","0x1f","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x1a","0x80","0x4e","0x0","0x2d","10","0","0x0","0x1","0x88b55b8","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x66","0x41","0x0","0x25","14","4","0x0","0x1","0x88b55c0","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x1d","0x65","0x41","0x0","0x25","206","3","0x0","0x1","0x88b55c8","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x1e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1f","0x65","0x41","0x0","0x2d","14","2","0x0","0x1","0x88b55d0","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x20","0x65","0x41","0x0","0x2d","142","1","0x0","0x1","0x88b55d8","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x21","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x22","0x65","0x41","0x0","0x35","13","0","0x0","0x1","0x88b55e0","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x23","0x65","0x41","0x0","0x35","78","0","0x0","0x1","0x88b55e8","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x24","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x25","0x20","0x13","0x0","0x2c","140","1","0x0","0x1","0x88b55f0","0xd","0x0","0x0","0x0","0x7","0x3","0x9","0x0"
"0x26","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x27","0x20","0x13","0x0","0xd","137","1","0x0","0x2","0x88b55f8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x28","0xd","0x4a","0x0","0x8","201","3","0x0","0x2","0x88b5608","0x4c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x29","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2a","0x4a","0x9","0x0","0xd","201","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2b","0x69","0x21","0x0","0xd","73","2","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2c","0xe","0x1f","0x0","0xd","136","2","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2e","0xd","0x4a","0x0","0x8","10","0","0x0","0x1","0x88b5618","0x4c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x30","0x1","0x2","0x0","0x28","0","4","0x0","0x1","0x88b5620","0x9","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
