"0x8c3e50","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0xf","0x1","0xf","0x58","4","2","0x0","0x0","0x0","0x16","0x78","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x7","0xf","0x50","131","1","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2","0x7","0xf","0x50","133","1","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x2","0x7","0xf","0x50","6","2","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x7","0xf","0x50","131","2","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x2","0x7","0xf","0x50","133","2","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x7","0xf","0x50","196","2","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x7","0xf","0x50","68","1","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2","0x7","0xf","0x50","196","1","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x2","0x7","0xf","0x50","68","2","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x2","0x7","0xf","0x50","3","2","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0xba","0x5f","0x0","0x4d","13","0","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0xd","0xb7","0x5f","0x0","0x4d","74","0","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xe","0xbb","0x63","0x0","0x4d","15","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xf","0xbb","0x63","0x0","0x4d","135","4","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x10","0xbb","0x63","0x0","0x45","72","4","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x11","0xb0","0x63","0x0","0x4d","18","3","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x12","0xb9","0x63","0x0","0x4d","138","4","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x13","0xb9","0x5f","0x0","0x4d","8","0","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x14","0xb0","0x63","0x0","0x4d","18","1","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x15","0xb1","0x5f","0x0","0x4d","208","0","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x16","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x1a","0x43","0x19","0xa","212","2","0x0","0x1","0x88c3db8","0x86","0x6d","0x0","0x0","0x0","0x3","0x8","0x0"
"0x18","0x19","0x4b","0x0","0x1a","212","2","0x0","0x1","0x88c3dc0","0x4c","0x74","0x6d","0x0","0xe","0x3","0x0","0x0"
"0x19","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0xaa","0x52","0x0","0x4d","11","2","0x0","0x0","0x0","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x1b","0xb0","0x55","0x0","0x55","77","2","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x1c","0xac","0x54","0x0","0x4d","76","2","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x1d","0xac","0x54","0x0","0x4d","140","2","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x1e","0xaa","0x52","0x0","0x4d","203","1","0x0","0x0","0x0","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x1f","0xaa","0x52","0x0","0x55","11","3","0x0","0x0","0x0","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x20","0xaa","0x52","0x0","0x4d","204","1","0x0","0x0","0x0","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x21","0xaa","0x52","0x0","0x4d","204","2","0x0","0x0","0x0","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x22","0xad","0x55","0x0","0x4d","76","3","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x23","0xac","0x54","0x0","0x4d","140","1","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x24","0xac","0x54","0x0","0x55","12","3","0x0","0x0","0x0","0x1c","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x25","0xaa","0x52","0x0","0x4d","12","2","0x0","0x0","0x0","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x26","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x27","0xb0","0x56","0x0","0x1d","14","3","0x0","0x0","0x0","0x16","0x1c","0x0","0x0","0x3","0x3","0xc","0x0"
"0x28","0xb0","0x53","0x0","0x25","13","3","0x0","0x0","0x0","0xae","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x29","0xb0","0x54","0x0","0x4d","205","2","0x0","0x0","0x0","0x1c","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
